timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621218375772,55,Petición HTTP-3,200,OK,Pruebas UAGRO 1-56,text,true,,3929,140,173,173,https://www.pruebavotaciones.uagro.mx/registro/,55,0,0
1621218375725,49,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-70,text,true,,634,139,173,173,https://www.pruebavotaciones.uagro.mx/registro,49,0,0
1621218375772,55,Petición HTTP-3,200,OK,Pruebas UAGRO 1-54,text,true,,3929,140,173,173,https://www.pruebavotaciones.uagro.mx/registro/,55,0,0
1621218375774,53,Petición HTTP-3,200,OK,Pruebas UAGRO 1-70,text,true,,3929,140,173,173,https://www.pruebavotaciones.uagro.mx/registro/,53,0,0
1621218375612,216,Petición HTTP,200,OK,Pruebas UAGRO 1-63,text,true,,5404,541,172,172,https://www.pruebavotaciones.uagro.mx/registro/,49,0,0
1621218375612,49,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-63,text,true,,615,131,172,172,http://www.pruebavotaciones.uagro.mx/,49,0,0
1621218375661,51,Petición HTTP-1,302,Found,Pruebas UAGRO 1-63,text,true,,226,131,172,172,https://www.pruebavotaciones.uagro.mx/,51,0,0
1621218375712,60,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-63,text,true,,634,139,172,172,https://www.pruebavotaciones.uagro.mx/registro,60,0,0
1621218375772,56,Petición HTTP-3,200,OK,Pruebas UAGRO 1-63,text,true,,3929,140,172,172,https://www.pruebavotaciones.uagro.mx/registro/,56,0,0
1621218375610,220,Petición HTTP,200,OK,Pruebas UAGRO 1-53,text,true,,5404,541,167,167,https://www.pruebavotaciones.uagro.mx/registro/,51,0,0
1621218375610,51,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-53,text,true,,615,131,167,167,http://www.pruebavotaciones.uagro.mx/,51,0,0
1621218375661,51,Petición HTTP-1,302,Found,Pruebas UAGRO 1-53,text,true,,226,131,167,167,https://www.pruebavotaciones.uagro.mx/,51,0,0
1621218375712,60,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-53,text,true,,634,139,167,167,https://www.pruebavotaciones.uagro.mx/registro,60,0,0
1621218375772,58,Petición HTTP-3,200,OK,Pruebas UAGRO 1-53,text,true,,3929,140,167,167,https://www.pruebavotaciones.uagro.mx/registro/,58,0,0
1621218371292,4689,Petición HTTP,200,OK,Pruebas UAGRO 1-75,text,true,,5406,541,162,162,https://www.pruebavotaciones.uagro.mx/registro/,3868,0,50
1621218371292,3868,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-75,text,true,,616,131,162,162,http://www.pruebavotaciones.uagro.mx/,3868,0,50
1621218375164,718,Petición HTTP-1,302,Found,Pruebas UAGRO 1-75,text,true,,227,131,162,162,https://www.pruebavotaciones.uagro.mx/,718,0,666
1621218375882,47,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-75,text,true,,634,139,162,162,https://www.pruebavotaciones.uagro.mx/registro,47,0,0
1621218375930,51,Petición HTTP-3,200,OK,Pruebas UAGRO 1-75,text,true,,3929,140,162,162,https://www.pruebavotaciones.uagro.mx/registro/,51,0,0
1621218375773,214,Petición HTTP,200,OK,Pruebas UAGRO 1-71,text,true,,5404,541,162,162,https://www.pruebavotaciones.uagro.mx/registro/,58,0,0
1621218375773,58,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-71,text,true,,615,131,162,162,http://www.pruebavotaciones.uagro.mx/,58,0,0
1621218375831,55,Petición HTTP-1,302,Found,Pruebas UAGRO 1-71,text,true,,226,131,162,162,https://www.pruebavotaciones.uagro.mx/,55,0,0
1621218375887,52,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-71,text,true,,634,139,162,162,https://www.pruebavotaciones.uagro.mx/registro,52,0,0
1621218375939,48,Petición HTTP-3,200,OK,Pruebas UAGRO 1-71,text,true,,3929,140,162,162,https://www.pruebavotaciones.uagro.mx/registro/,48,0,0
1621218375774,239,Petición HTTP,200,OK,Pruebas UAGRO 1-74,text,true,,5404,541,163,163,https://www.pruebavotaciones.uagro.mx/registro/,76,0,0
1621218375774,76,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-74,text,true,,615,131,163,163,http://www.pruebavotaciones.uagro.mx/,76,0,0
